"번호","개방서비스명","개방자치단체코드","인허가일자","영업상태명","폐업일자","소재지면적","사업장명","업태구분명","시설총규모","주소","시도"
409384,"휴게음식점",3060000,20120319,"영업/정상",NA,"230.00","스타벅스코리아 상봉역점","커피숍",230,"서울특별시 중랑구 망우로 307 (상봉동)","서울특별시"
409398,"휴게음식점",3060000,20150731,"영업/정상",NA,"179.66","스타벅스커피 중랑역점","커피숍",179.66,"서울특별시 중랑구 망우로30길 3, 101,102,108,109호 (상봉동)","서울특별시"
409446,"휴게음식점",3060000,20140926,"영업/정상",NA,"254.10","스타벅스커피 사가정역점","커피숍",254.1,"서울특별시 중랑구 면목로 310, 1층 (면목동)","서울특별시"
409462,"휴게음식점",3060000,20160405,"영업/정상",NA,"211.55","스타벅스커피 상봉","커피숍",211.55,"서울특별시 중랑구 상봉로 131, 1층 (상봉동, 상봉 듀오트리스)","서울특별시"
409486,"휴게음식점",3000000,20100721,"영업/정상",NA,"221.70","스타벅스 종로3가점","커피숍",221.7,"서울특별시 종로구 종로 113-1 (종로3가)","서울특별시"
409591,"휴게음식점",3180000,20141031,"영업/정상",NA,"361.00","스타벅스커피문래역점","커피숍",361,"서울특별시 영등포구 당산로 34 (문래동3가, 로데오왘쇼핑몰 1층145A, 2층229,230호)","서울특별시"
409618,"휴게음식점",3180000,20161013,"영업/정상",NA,"198.00","스타벅스국회의사당역점","커피숍",198,"서울특별시 영등포구 의사당대로 8, 1층 (여의도동, 태흥빌딩)","서울특별시"
409664,"휴게음식점",3000000,20141017,"영업/정상",NA,"286.86","스타벅스 북촌로점","커피숍",286.86,"서울특별시 종로구 북촌로4길 23 (계동)","서울특별시"
409704,"휴게음식점",3180000,20100913,"영업/정상",NA,"231.00","스타벅스커피 여의도 의사당점","커피숍",257.4,"서울특별시 영등포구 국회대로74길 12 (여의도동,남중빌딩 지상1층)","서울특별시"
409760,"휴게음식점",3230000,20141230,"영업/정상",NA,"313.50","스타벅스 문정로데오점","커피숍",313.5,"서울특별시 송파구 동남로 141, 지상1층 (가락동)","서울특별시"
409766,"휴게음식점",3000000,20101112,"영업/정상",NA,"231.00","스타벅스 경복궁역","커피숍",231,"서울특별시 종로구 자하문로4길 6 (통의동,외 4필지 1층)","서울특별시"
409802,"휴게음식점",3180000,20110322,"영업/정상",NA,"226.15","스타벅스커피 여의도호성","커피숍",226.15,"서울특별시 영등포구 여의대방로65길 24 (여의도동,호성빌딩지상1층)","서울특별시"
409817,"휴게음식점",3000000,20101123,"영업/정상",NA,"200.00","스타벅스 종로관철점","커피숍",200,"서울특별시 종로구 종로12길 21 (관철동,2층)","서울특별시"
409881,"휴게음식점",3000000,20110623,"영업/정상",NA,"302.00","스타벅스 이마빌딩점","커피숍",302,"서울특별시 종로구 종로1길 42 (수송동,지상1층)","서울특별시"
409975,"휴게음식점",3000000,20140617,"영업/정상",NA,"409.92","스타벅스 안국점","커피숍",409.92,"서울특별시 종로구 북촌로 5-1, 지상1,2층 (재동)","서울특별시"
410080,"휴게음식점",3180000,20161219,"영업/정상",NA,"302.00","스타벅스여의도공원R","커피숍",302,"서울특별시 영등포구 여의공원로 101, 1층 102호 (여의도동)","서울특별시"
410087,"휴게음식점",3180000,20161209,"영업/정상",NA,"227.00","스타벅스영등포KT점","커피숍",227,"서울특별시 영등포구 영중로 119, 1층 106호 (영등포동8가, 리마크빌)","서울특별시"
410112,"휴게음식점",3210000,20180601,"영업/정상",NA,"251.50","스타벅스 강남교보타워R점","커피숍",251.5,"서울특별시 서초구 강남대로 465, 1층 (서초동)","서울특별시"
410181,"휴게음식점",3180000,20090818,"영업/정상",NA,"63.00","스타벅스신세계타임스퀘어1F점","다방",63,"서울특별시 영등포구 영중로 9 (영등포동4가,신세계백화점 B관 1층 일부)","서울특별시"
410216,"휴게음식점",3060000,20150323,"영업/정상",NA,"264.22","스타벅스 중랑구청점","커피숍",264.22,"서울특별시 중랑구 신내로14길 8 (신내동, 2층,3층)","서울특별시"
410218,"휴게음식점",3180000,20141027,"영업/정상",NA,"810.95","스타벅스커피 영등포신길","커피숍",810.95,"서울특별시 영등포구 신길로 137 (신길동, 외5필지 1~2층)","서울특별시"
410280,"휴게음식점",3000000,20130108,"영업/정상",NA,"297.00","스타벅스 대학로점","커피숍",297,"서울특별시 종로구 대학로 57, 1층 (연건동)","서울특별시"
410289,"휴게음식점",3180000,20121212,"영업/정상",NA,"187.70","스타벅스커피여의도IFC","커피숍",187.7,"서울특별시 영등포구 국제금융로 10, 1층 101호 (여의도동, 투 아이에프씨동)","서울특별시"
410407,"휴게음식점",3000000,20110905,"영업/정상",NA,"277.93","스타벅스 동숭로아트점","커피숍",277.93,"서울특별시 종로구 동숭길 110 (동숭동,(지상 1,2,3층))","서울특별시"
410443,"휴게음식점",3060000,20110119,"영업/정상",NA,"87.80","스타벅스묵동이마트점","커피숍",87.8,"서울특별시 중랑구 동일로 932 (묵동,이마트묵동점 지하1층 B101호)","서울특별시"
410524,"휴게음식점",3000000,20140924,"영업/정상",NA,"237.30","스타벅스 종로수송점","커피숍",237.3,"서울특별시 종로구 종로5길 30, 지상1~3층 (청진동)","서울특별시"
410605,"휴게음식점",3180000,20140124,"영업/정상",NA,"227.70","스타벅스커피당산점","커피숍",227.7,"서울특별시 영등포구 양평로 64 (당산동6가, 경진빌딩 지상1층)","서울특별시"
410607,"휴게음식점",3180000,20140121,"영업/정상",NA,"169.44","스타벅스커피여의도한양증권점","커피숍",169.44,"서울특별시 영등포구 국제금융로6길 7 (여의도동, 한양증권 1층)","서울특별시"
410697,"휴게음식점",3230000,20100914,"영업/정상",NA,"200.00","스타벅스 석촌역","커피숍",200,"서울특별시 송파구 백제고분로 358 (석촌동,1층)","서울특별시"
410717,"휴게음식점",3180000,20131210,"영업/정상",NA,"229.26","스타벅스커피여의도일신점","커피숍",229.26,"서울특별시 영등포구 은행로 11 (여의도동, 1층 일부)","서울특별시"
410778,"휴게음식점",3180000,20100628,"영업/정상",NA,"137.15","스타벅스신세계타임스퀘어B2점","커피숍",137.15,"서울특별시 영등포구 영중로 9 (영등포동4가, B관 지하2층)","서울특별시"
410832,"휴게음식점",3210000,20170328,"영업/정상",NA,"198.00","스타벅스커피 강남대로신사","커피숍",198,"서울특별시 서초구 강남대로 595, 1층 (잠원동)","서울특별시"
410872,"휴게음식점",3000000,20160425,"영업/정상",NA,"333.96","스타벅스 동묘앞역점","커피숍",333.96,"서울특별시 종로구 종로 344, 1,2층 101호201호 (숭인동)","서울특별시"
410875,"휴게음식점",3000000,20160404,"영업/정상",NA,"147.60","스타벅스 종로구청점","커피숍",147.6,"서울특별시 종로구 삼봉로 71, 1층 101호 (수송동)","서울특별시"
410877,"휴게음식점",3210000,20170328,"영업/정상",NA,"168.60","스타벅스커피 서울고속터미널점","커피숍",168.6,"서울특별시 서초구 신반포로 194, 1층 18호 (반포동, 서울고속버스터미널 본관(점포))","서울특별시"
410891,"휴게음식점",3180000,20100610,"영업/정상",NA,"132.00","스타벅스 문래동점","커피숍",132,"서울특별시 영등포구 선유로 64 (문래동3가,대창타운빌 지상1층)","서울특별시"
410930,"휴게음식점",3210000,20160328,"영업/정상",NA,"274.78","스타벅스 청계산입구역점","커피숍",274.78,"서울특별시 서초구 청계산로 203, 101호, 102호, 201호, 202호 (신원동)","서울특별시"
410951,"휴게음식점",3000000,20110407,"영업/정상",NA,"198.00","스타벅스 경복궁사거리점","커피숍",198,"서울특별시 종로구 율곡로 6 (중학동,트윈트리 B동 101호)","서울특별시"
411021,"휴게음식점",3000000,20121220,"영업/정상",NA,"274.48","스타벅스 종로관수점","커피숍",274.48,"서울특별시 종로구 삼일대로20길 13, 1~3층 (관수동)","서울특별시"
411130,"휴게음식점",3210000,20170801,"영업/정상",NA,"207.22","스타벅스 이수역사거리점","커피숍",207.22,"서울특별시 서초구 서초대로 3-4, 101호, 101-1호, 201호, 209호 (방배동, 방배디오슈페리움Ⅰ)","서울특별시"
411233,"휴게음식점",3210000,20171124,"영업/정상",NA,"263.26","스타벅스 서초우성사거리점","커피숍",263.26,"서울특별시 서초구 강남대로 343, 1층 (서초동)","서울특별시"
411297,"휴게음식점",3180000,20160321,"영업/정상",NA,"196.66","스타벅스(선유도역점)","커피숍",196.66,"서울특별시 영등포구 양평로 115, 1층 (양평동4가)","서울특별시"
411311,"휴게음식점",3180000,20091007,"영업/정상",NA,"48.90","스타벅스타임스퀘어B2점","커피숍",48.9,"서울특별시 영등포구 영중로 15 (영등포동4가,지하2층)","서울특별시"
411323,"휴게음식점",3000000,20140610,"영업/정상",NA,"400.38","스타벅스 삼청동점","커피숍",400.38,"서울특별시 종로구 삼청로 111-1, 지상1~4층 (삼청동)","서울특별시"
411334,"휴게음식점",3210000,20170417,"영업/정상",NA,"310.89","스타벅스 강남대로논현R점","커피숍",310.89,"서울특별시 서초구 강남대로85길 5, 1층 (반포동)","서울특별시"
411351,"휴게음식점",3180000,20090911,"영업/정상",NA,"165.29","스타벅스타임스퀘어2F점","일반조리판매",165.29,"서울특별시 영등포구 영중로 15, 타임스퀘어 2층 (영등포동4가)","서울특별시"
411379,"휴게음식점",3180000,20160317,"영업/정상",NA,"282.60","스타벅스(선유동이레빌딩점)","커피숍",282.6,"서울특별시 영등포구 선유동2로 57, 1층 (양평동4가, 이레빌딩 신관)","서울특별시"
411531,"휴게음식점",3210000,20151221,"영업/정상",NA,"401.97","스타벅스 방배카페거리","커피숍",401.97,"서울특별시 서초구 방배중앙로 162, 1층, 2층 (방배동)","서울특별시"
411589,"휴게음식점",3000000,20180409,"영업/정상",NA,"224.01","스타벅스 광화문우체국","커피숍",224.01,"서울특별시 종로구 종로 6, 광화문우체국 1층 (서린동)","서울특별시"
411621,"휴게음식점",3230000,20150324,"영업/정상",NA,"280.00","스타벅스 석촌서호","커피숍",280,"서울특별시 송파구 석촌호수로 176, 지상1층 (삼전동)","서울특별시"
411790,"휴게음식점",3180000,20141110,"영업/정상",NA,"221.98","스타벅스커피여의도ABL타워점","커피숍",221.98,"서울특별시 영등포구 의사당대로 147 (여의도동, 알리안츠타워 1층)","서울특별시"
411876,"휴게음식점",3000000,20150825,"영업/정상",NA,"422.19","스타벅스 광화문D타워점","커피숍",422.19,"서울특별시 종로구 종로3길 17, 지상1,2층 101,201호 (청진동, D-타워)","서울특별시"
411977,"휴게음식점",3180000,20160215,"영업/정상",NA,"376.55","스타벅스여의도역R","커피숍",376.55,"서울특별시 영등포구 의사당대로 83, 1층 (여의도동)","서울특별시"
