"번호","개방서비스명","개방자치단체코드","인허가일자","영업상태명","폐업일자","소재지면적","사업장명","업태구분명","시설총규모","주소","시도"
426092,"휴게음식점",3600000,20170523,"영업/정상",NA,"193.87","투썸플레이스 상무메이루즈점","커피숍",193.87,"광주광역시 서구 시청로 27, 1층 129호 (치평동, 광명메이루즈 테라스가든)","광주광역시"
426219,"휴게음식점",3630000,20120131,"영업/정상",NA,"145.80","(유)씨네일일(투썸플레이스)","일반조리판매",145.8,"광주광역시 광산구 앰코로 35, 4층 404호 (쌍암동)","광주광역시"
426273,"휴게음식점",3630000,20170601,"영업/정상",NA,"62.06","투썸플레이스광주수완롯데마트점","커피숍",62.06,"광주광역시 광산구 장신로 98, 롯데쇼핑몰판매동 3층 (장덕동)","광주광역시"
426285,"휴게음식점",3610000,20171228,"영업/정상",NA,"292.50","투썸플레이스봉선점","커피숍",292.5,"광주광역시 남구 봉선로 156, 예수사랑교회 1층 (봉선동)","광주광역시"
426474,"휴게음식점",3180000,20220125,"영업/정상",NA,"293.80","투썸플레이스 영등포역점","커피숍",293.8,"서울특별시 영등포구 경인로 847, 1-2층 (영등포동3가)","서울특별시"
426775,"휴게음식점",3420000,20191127,"영업/정상",NA,"473.14","투썸플레이스 동북로점","기타 휴게음식점",473.14,"대구광역시 동구 동북로 316, 1층, 2층 (신암동)","대구광역시"
426794,"휴게음식점",5220000,20191120,"영업/정상",NA,"165.30","투썸플레이스북삼인평점","커피숍",165.3,"경상북도 칠곡군 북삼읍 북삼로8길 2 (우신원룸)","경상북도"
426871,"휴게음식점",5710000,20191017,"영업/정상",NA,"443.09","투썸플레이스 청주예술의 전당 DT점","커피숍",443.09,"충청북도 청주시 흥덕구 직지대로 680, 1, 2층 (봉명동)","충청북도"
427277,"휴게음식점",3410000,20191127,"영업/정상",NA,"159.46","투썸플레이스 대구남산점","커피숍",159.46,"대구광역시 중구 중앙대로 295, 지상1층 (남산동)","대구광역시"
427344,"휴게음식점",5540000,20191127,"영업/정상",NA,"294.04","투썸플레이스(광주태전)","커피숍",294.04,"경기도 광주시 태전중앙로 20, 스카이가든 (태전동)","경기도"
427364,"휴게음식점",3220000,20191030,"영업/정상",NA,"273.15","투썸플레이스 청담역점","커피숍",273.15,"서울특별시 강남구 영동대로 704, 삼강빌딩 지상1층 (청담동)","서울특별시"
427640,"휴게음식점",5710000,20191206,"영업/정상",NA,"280.00","투썸플레이스 청주오창중부점","커피숍",280.62,"충청북도 청주시 청원구 오창읍 양청송대길 5, 1~2층 101, 201호","충청북도"
427774,"휴게음식점",3700000,20191111,"영업/정상",NA,"371.86","투썸플레이스대영점","커피숍",371.86,"울산광역시 남구 도산로119번길 7, 달동 99-7제1종근린생활시설(주)대영레포츠 2층 (달동)","울산광역시"
428123,"휴게음식점",3240000,20191203,"영업/정상",NA,"306.49","투썸플레이스 천호로데오점","커피숍",306.49,"서울특별시 강동구 천호대로157길 19, 2층 (천호동)","서울특별시"
428145,"휴게음식점",3910000,20191111,"영업/정상",NA,"233.85","투썸플레이스 평택안중점","패스트푸드",233.85,"경기도 평택시 안중읍 안현로서8길 31-4, 1층","경기도"
428372,"휴게음식점",4810000,20191126,"영업/정상",NA,"227.85","투썸플레이스 여수웅천해변공원점","커피숍",227.85,"전라남도 여수시 웅천남6로 21, 1~2층 101호, 201호 (웅천동)","전라남도"
428511,"휴게음식점",3340000,20191126,"영업/정상",NA,"470.00","투썸플레이스 몰운대점","기타 휴게음식점",470,"부산광역시 사하구 다대로 655, 2-3층 (다대동)","부산광역시"
428512,"휴게음식점",3360000,20191126,"영업/정상",NA,"119.58","투썸플레이스 부산명지옛터공원점","커피숍",119.58,"부산광역시 강서구 명지국제13로가길 18-1, 1층층 (명지동)","부산광역시"
428577,"휴게음식점",4390000,20191218,"영업/정상",NA,"136.68","투썸플레이스충주호암점","커피숍",136.68,"충청북도 충주시 호암수청2로 15, 1층 (호암동)","충청북도"
428632,"휴게음식점",4040000,20191218,"영업/정상",NA,"315.00","투썸플레이스 하남미사중앙점","커피숍",315,"경기도 하남시 미사강변대로 38, 위너스프라자 1,2층 110,111,112,205,205-1,206호 (풍산동)","경기도"
428649,"휴게음식점",4490000,20191128,"영업/정상",NA,"192.88","투썸플레이스직산점","커피숍",192.88,"충청남도 천안시 서북구 직산읍 봉주로 54, 1층","충청남도"
428680,"휴게음식점",3460000,20191021,"영업/정상",NA,"188.70","투썸플레이스TBC점","커피숍",188.7,"대구광역시 수성구 동대구로 36, 1층 (지산동)","대구광역시"
428681,"휴게음식점",3460000,20191021,"영업/정상",NA,"49.50","투썸플레이스TBC점","커피숍",49.5,"대구광역시 수성구 동대구로 36, 2층 (지산동)","대구광역시"
428732,"휴게음식점",3140000,20191021,"영업/정상",NA,"178.26","투썸플레이스 양천신목로점","커피숍",178.26,"서울특별시 양천구 신목로 50, 리더스빌딩 1층 (신정동)","서울특별시"
428918,"휴게음식점",3250000,20191107,"영업/정상",NA,"446.60","투썸플레이스 부산광복점","커피숍",446.6,"부산광역시 중구 광복로 49, 2-3층 (창선동1가)","부산광역시"
429043,"휴게음식점",3700000,20150619,"영업/정상",NA,"349.51","투썸플레이스울산삼산현대점","커피숍",349.51,"울산광역시 남구 돋질로 259, 2층 (삼산동)","울산광역시"
430085,"휴게음식점",5020000,20191025,"영업/정상",NA,"292.67","투썸플레이스 포항두호점","커피숍",292.67,"경상북도 포항시 북구 두호로 26, 1~2층 (두호동)","경상북도"
430463,"휴게음식점",3140000,20191018,"영업/정상",NA,"245.00","투썸플레이스 남부지방법원점","커피숍",245,"서울특별시 양천구 신월로 385, 1,2층 (신정동)","서울특별시"
430515,"휴게음식점",3490000,20191018,"영업/정상",NA,"174.29","투썸플레이스 인천영종하늘중앙로","커피숍",174.29,"인천광역시 중구 하늘중앙로225번길 3, 영종M타워 105,6호 (중산동)","인천광역시"
430522,"휴게음식점",5600000,20191028,"영업/정상",NA,"257.80","투썸플레이스 광릉수목원점","커피숍",257.8,"경기도 포천시 소흘읍 죽엽산로 691-1","경기도"
430727,"휴게음식점",3010000,20191219,"영업/정상",NA,"162.72","투썸플레이스","커피숍",162.72,"서울특별시 중구 세종대로14길 15, 1층 (북창동)","서울특별시"
430749,"휴게음식점",4170000,20191211,"영업/정상",NA,"454.66","투썸플레이스 오빈점","커피숍",454.66,"경기도 양평군 양평읍 경강로 1663, 2~3층","경기도"
430874,"휴게음식점",3230000,20191211,"영업/정상",NA,"150.19","투썸플레이스 가락몰점","커피숍",150.19,"서울특별시 송파구 양재대로 932, 가락동 농수산물도매시장 가락몰 업무동 1층 (가락동)","서울특별시"
431036,"휴게음식점",3120000,20191224,"영업/정상",NA,"231.18","투썸플레이스 동교동삼거리점","커피숍",231.18,"서울특별시 서대문구 신촌로 1, 비303호 (창천동)","서울특별시"
431243,"휴게음식점",3230000,20191204,"영업/정상",NA,"294.81","투썸플레이스 삼전역점","커피숍",294.81,"서울특별시 송파구 삼전로 66, 순명빌딩 1,2층 (삼전동)","서울특별시"
431502,"휴게음식점",3010000,20191216,"영업/정상",NA,"455.59","투썸플레이스 충무로역점","커피숍",455.59,"서울특별시 중구 퇴계로 206, 1,2층 (필동2가)","서울특별시"
432149,"휴게음식점",3860000,20190918,"영업/정상",NA,"169.60","투썸플레이스 부천옥길점","커피숍",169.6,"경기도 부천시 옥길로 110-11, 1층 104,105,106,107호 (옥길동)","경기도"
432229,"휴게음식점",3700000,20190805,"영업/정상",NA,"263.34","투썸플레이스(울산삼산본동점)","커피숍",263.34,"울산광역시 남구 남중로 100, 1층 (삼산동)","울산광역시"
432465,"휴게음식점",3990000,20190702,"영업/정상",NA,"372.06","투썸플레이스 도농사거리점","커피숍",372.06,"경기도 남양주시 경춘로 365, 1층일부,2층일부 (다산동)","경기도"
432475,"휴게음식점",5220000,20190823,"영업/정상",NA,"385.16","투썸플레이스왜관DT점","커피숍",385.16,"경상북도 칠곡군 왜관읍 관문로 173","경상북도"
433330,"휴게음식점",3230000,20160818,"영업/정상",NA,"152.00","투썸플레이스 잠실롯데키자니아점","기타 휴게음식점",152,"서울특별시 송파구 올림픽로 240, 1층 (잠실동, 롯데월드 스포츠)","서울특별시"
433993,"휴게음식점",3210000,20090922,"영업/정상",NA,"104.83","투썸플레이스 아크로비스타점","커피숍",104.83,"서울특별시 서초구 서초중앙로 188 (서초동,아크로비스타 B101호)","서울특별시"
434074,"휴게음식점",3230000,20111207,"영업/정상",NA,"158.00","투썸플레이스 석촌호수점","커피숍",158,"서울특별시 송파구 석촌호수로 220, 1층 (석촌동)","서울특별시"
434117,"휴게음식점",3230000,20130926,"영업/정상",NA,"215.91","투썸플레이스 잠실3단지점","커피숍",215.91,"서울특별시 송파구 석촌호수로 100, 지상1,2층 (잠실동)","서울특별시"
434118,"휴게음식점",3230000,20130917,"영업/정상",NA,"225.22","투썸플레이스 잠실역(2)점","커피숍",225.22,"서울특별시 송파구 올림픽로35다길 32, 지상1층 (신천동)","서울특별시"
434336,"휴게음식점",3230000,20121106,"영업/정상",NA,"278.00","투썸플레이스 문정로데오점","커피숍",278,"서울특별시 송파구 동남로 132, 지상1,2층 (문정동)","서울특별시"
434389,"휴게음식점",3210000,20081028,"영업/정상",NA,"56.80","투썸플레이스 CJ ENM커머스부문점","커피숍",56.8,"서울특별시 서초구 과천대로 870-13, 지하2층 (방배동)","서울특별시"
434509,"휴게음식점",3070000,20170323,"영업/정상",NA,"164.13","투썸플레이스한성대입구역점","커피숍",164.13,"서울특별시 성북구 동소문로 6, 지상1-2층 (동소문동2가)","서울특별시"
435096,"휴게음식점",3120000,20180725,"영업/정상",NA,"288.10","투썸플레이스 이대역점","커피숍",288.1,"서울특별시 서대문구 이화여대길 7, 2층 (대현동)","서울특별시"
435293,"휴게음식점",3070000,20121030,"영업/정상",NA,"298.60","투썸플레이스 고려대법학관점","커피숍",298.6,"서울특별시 성북구 안암로 145 (안암동5가, 고려대학교 제3법학관)","서울특별시"
435393,"휴게음식점",3070000,20151012,"영업/정상",NA,"33.00","투썸플레이스","커피숍",33,"서울특별시 성북구 아리랑로 8 (동선동4가)","서울특별시"
435397,"휴게음식점",3070000,20151222,"영업/정상",NA,"257.00","투썸플레이스","커피숍",257,"서울특별시 성북구 화랑로 95 (하월곡동)","서울특별시"
435539,"휴게음식점",3120000,20111222,"영업/정상",NA,"165.29","(주)투썸플레이스 임광빌딩점","기타 휴게음식점",165.29,"서울특별시 서대문구 통일로 81, 본관1층 (미근동, 임광빌딩)","서울특별시"
435600,"휴게음식점",3030000,20130226,"영업/정상",NA,"134.31","투썸플레이스옥수리버젠점","커피숍",134.31,"서울특별시 성동구 독서당로 223, B401,B402호 (옥수동)","서울특별시"
435604,"휴게음식점",3140000,20160322,"영업/정상",NA,"195.00","투썸플레이스목동메가박스","커피숍",195,"서울특별시 양천구 목동동로 309, 6층 (목동, 행복한세상)","서울특별시"
436117,"휴게음식점",3010000,20090730,"영업/정상",NA,"136.22","투썸플레이스 순화동점","커피숍",136.22,"서울특별시 중구 세종대로7길 37 (순화동,ING Center 지상1층)","서울특별시"
436165,"휴게음식점",3020000,20171130,"영업/정상",NA,"256.30","투썸플레이스이태원역점","커피숍",256.3,"서울특별시 용산구 이태원로 180, 3층 (이태원동)","서울특별시"
436461,"휴게음식점",3020000,20170403,"영업/정상",NA,"111.72","투썸플레이스용산트윈시티점","커피숍",111.72,"서울특별시 용산구 한강대로 366, 1층 (동자동)","서울특별시"
436502,"휴게음식점",3030000,20170522,"영업/정상",NA,"137.00","투썸플레이스 옥수역점","커피숍",137,"서울특별시 성동구 독서당로40길 39, 지하2층 204호 (옥수동)","서울특별시"
436552,"휴게음식점",3030000,20150821,"영업/정상",NA,"86.00","투썸플레이스 한양대 학생복지관점","일반조리판매",86,"서울특별시 성동구 왕십리로 222, 1층 (행당동, 한양대학교 학생복지관)","서울특별시"
436580,"휴게음식점",3020000,20091203,"영업/정상",NA,"286.02","투썸플레이스(숙대점)","커피숍",286.02,"서울특별시 용산구 청파로47길 49 (청파동3가,(지상1,2층))","서울특별시"
436791,"휴게음식점",3020000,20100225,"영업/정상",NA,"98.96","투썸플레이스용산아이파크몰점","커피숍",98.96,"서울특별시 용산구 한강대로23길 55, 6층 (한강로3가, 아이파크몰 동관)","서울특별시"
436872,"휴게음식점",3010000,20180307,"영업/정상",NA,"309.00","투썸플레이스 을지로점","커피숍",309,"서울특별시 중구 남대문로10길 30, 지하1층,지상1층 (수하동)","서울특별시"
436949,"휴게음식점",3010000,20180425,"영업/정상",NA,"185.00","투썸플레이스 매경미디어센터점","커피숍",185,"서울특별시 중구 퇴계로 190, 매경미디어센터 1층 (필동1가)","서울특별시"
437004,"휴게음식점",3020000,20051208,"영업/정상",NA,"19.60","투썸플레이스엔타워점","커피숍",19.6,"서울특별시 용산구 용산동2가 산 1-3 외1필지(광장1층)","서울특별시"
437107,"휴게음식점",3020000,20121129,"영업/정상",NA,"59.99","투썸플레이스 용산청파삼거리","커피숍",59.99,"서울특별시 용산구 청파로 311 (청파동1가)","서울특별시"
437212,"휴게음식점",3070000,20110525,"영업/정상",NA,"198.00","투썸플레이스 미아삼거리점","커피숍",198,"서울특별시 성북구 도봉로 25 (길음동,2,3층)","서울특별시"
437512,"휴게음식점",6510000,20160823,"영업/정상",NA,"499.48","투썸플레이스한라대점","커피숍",499.48,"제주특별자치도 제주시 한라대학로 17, 1~2층 (노형동)","제주특별자치도"
437630,"휴게음식점",6510000,20140618,"영업/정상",NA,"146.70","투썸플레이스오라점","커피숍",146.7,"제주특별자치도 제주시 연삼로 259, 1층 (오라일동)","제주특별자치도"
